#OTU ID	GB11	GB12	GB14	GB21	GB22	GB23	GB24	GB25	GB26	GB31	GB32	GB33	GB34	GB35	GB36	GB41	GB42	GB43	GB44	GB45	GB46	GB51	GB52	GB53	GB54	GB55	GB56	GB61	GB62	GB63	GB64	GB65	GB66	GB71	GB72	GB73	GB74	GB75	GB76	GB81	GB82	GB83	GB84	GB85	GB86	PE11	PE12	PE14	PE15	PE16	PE21	PE22	PE23	PE24	PE25	PE26	PE31	PE32	PE33	PE34	PE35	PE36	PE41	PE42	PE43	PE44	PE45	PE46	PE51	PE52	PE53	PE54	PE55	PE56	PE61	PE62	PE63	PE64	PE65	PE66	PE71	PE72	PE73	PE74	PE75	PE76	PE81	PE82	PE83	PE84	PE85	PE86	PBS12	PBS13	PBS14	PBS15	PBS16	PBS21	PBS22	PBS23	PBS24	PBS25	PBS26	PBS31	PBS32	PBS33	PBS34	PBS35	PBS36	PBS41	PBS42	PBS43	PBS44	PBS45	PBS46	PBS51	PBS52	PBS53	PBS54	PBS55	PBS56	PBS61	PBS62	PBS63	PBS64	PBS65	PBS66	PBS71	PBS72	PBS73	PBS74	PBS75	PBS76	PBS81	PBS82	PBS83	PBS84	PBS85	PBS86
ASV5	12366	1685	1025	283425	11991	14144	3122	14777	1437	178509	69999	236103	72776	69332	80531	239251	53536	91480	2508	10047	23507	31671	16639	6765	7884	8922	8140	7215	11207	2342	2151	10578	8475	723	924	6900	429	4213	0	64791	1484	8235	13940	3138	11089	11888	547	0	673	0	41134	26927	7507	67409	4153	19395	1837274	1217819	3235589	2723571	5235805	3034053	3465858	3974575	3586249	3610428	5086253	1312776	4650459	1628616	4259113	200940	3745092	2089603	1125889	647629	160079	816553	162418	192902	92033	355465	46765	51735	832620	293695	369489	1748574	104985	415548	782671	182623	1627	0	6161	1018	770	161463	77043	89172	24230	16521	20899	251139	176368	351879	21755	104161	47827	448964	161496	216854	31136	83104	47088	37135	0	27952	8335	14897	0	19274	8703	0	17963	10702	9100	42065	0	0	0	57787	0	40799	0	0	8009	0	8604
ASV1	515190	134348	93827	15223	2093	9623	10413	39276	34550	5857	1780	9146	212421	18665	16050	16774	1485	3348	6568	2046	4727	1764	3358	2854	11768	4518	6432	485	6932	2509	3474	1641	1849	1895	1513	2353	2993	1886	544	1531	925	2396	1352	876	2319	8471719	420023	582615	3648479	1430917	741434	944722	2396347	110534	606842	1687153	3447662	1909682	5492725	891226	8580455	4667616	1441981	1455758	2940895	250597	3627197	1574971	223838	122825	528973	79296	1513643	313688	49692	13830	47189	9816	175088	86193	10928	0	25110	16327	18579	9288	1629	4452	7117	11162	6071	5335	285299	55545	214142	459461	119117	116829	160300	292064	156656	174810	432032	94337	56342	71763	47900	238919	96469	137456	46351	71345	20196	277223	7824	9965	32608	10116	6079	40000	19804	8147	5397	66073	0	29216	0	3490	5597	13734	22902	12912	0	10451	4105	11510	0	4670	4974
ASV19	1721	3408	1727	11192	509	4548	4033	7259	4515	3784	2114	10825	14544	11687	9124	5223	1059	8137	1654	3516	5561	8386	4246	5525	9465	1671	13474	1684	1904	1118	0	5210	1301	422	674	0	250	630	0	0	865	0	645	732	0	267	0	0	524	1817	4929	3547	1030	11990	4463	14957	8808	10036	5036	40545	26568	63506	50877	10860	6564	16960	11919	99284	13722	11506	5911	7932	0	26627	3272	0	0	13626	14849	15593	0	0	2299	0	1846	0	0	0	4608	0	0	2526	8730	2960	75783	24545	18747	525883	953956	185377	1577411	145875	1415607	3404371	2305959	4234234	1846438	837552	1290860	8739119	4282082	3712003	1153822	1282094	2562087	1392047	2829528	1641281	1351981	1164577	946430	689719	714629	1762145	1547120	969250	422758	174284	258200	226958	468481	564698	628282	512717	379530	755266	177787	577757	371138
ASV50	5559	5505	0	3434	0	0	0	1167	0	0	1189	3438	0	0	2219	0	2382	4882	0	0	758	8255	2184	1973	6799	0	3465	2331	3808	1490	4142	1645	2342	0	1213	0	0	0	0	0	0	0	0	0	0	4801	0	0	0	1168	12451	31921	25889	3094	24866	9204	137881	124731	159844	80780	273338	125365	141793	401653	584534	422701	1056294	189183	5009538	1369912	9795567	1064304	6402207	2124260	4986994	2712377	3970356	4344688	3258922	2629418	1028688	1866189	911264	1224041	930279	418196	178213	841557	489632	647821	502249	652998	0	0	0	1584	770	0	0	4777	3141	0	0	4753	2750	16722	0	0	0	0	0	0	2986	0	0	25218	0	17896	0	0	0	15698	0	0	0	13549	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV86	2625	0	0	0	0	0	0	0	0	0	0	0	9096	0	3057	4106	656	10087	1577	969	1567	22740	16243	12393	29416	17204	18772	18944	16995	17860	23026	19038	18064	0	1671	4990	9610	7187	2103	15900	6437	5523	7680	2179	27398	0	1583	0	0	0	0	2512	0	1279	5374	2219	7940	0	0	0	17184	0	49636	0	29374	14960	29551	42047	65551	76216	85088	40172	44348	50532	75040	144581	58798	77577	29702	90205	45550	62136	39137	0	22465	62879	33158	34017	56017	28424	28868	34627	2196	0	1563	0	0	12489	12220	0	0	0	0	0	0	0	0	0	0	0	69009	27983	0	0	45610	141081	390752	146588	97423	166112	3073655	795590	511436	1186059	700307	1740493	580436	1838079	3170619	3491357	3976107	5938624	2829327	7171821	3758242	5781818	3468595	4243016	3264737
ASV22	0	718	0	25610	10279	1602	713	5149	707	21093	20274	25644	67129	73211	66716	32111	10332	32695	8540	7671	5194	8257	12797	8109	12600	5457	13009	2838	3130	1191	3267	3757	2674	0	0	0	0	0	0	0	0	0	0	200	0	0	1050	0	0	0	1244	4164	1411	1589	3494	5954	0	36661	72098	59144	12857	101358	57116	6883	26318	44679	65531	102399	13295	7999	19569	10866	27709	15761	13895	0	0	23044	7396	0	0	0	0	0	0	0	0	2038	0	0	0	2646	0	0	0	362	0	1025105	3856937	1882653	7744271	495140	462247	1381711	6857748	12260669	4573024	6688368	1095206	1699770	2514440	1271277	816277	1275739	503137	133399	201489	1099558	85029	84327	57829	12399	7321	40392	35930	28203	86700	0	0	22436	0	0	82594	0	0	0	0	0	23037
ASV59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18574	0	0	0	0	3945	74110	454752	1087945	178148	77449	159563	5357578	13117923	2533333	1118159	2663478	11610535	3438768	1925614	2759866	1690459	7474993	3568531	0	0	0	0	0	0	0	0	0	0	0	5546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8	0	0	0	7413	0	0	0	3667	1216	10849	2718	5785	7075	38943	36355	14414	5558	9648	1963	4688	14733	16285	8319	3495	18739	8811	28819	3108	0	1065	3980	940	8699	482	0	0	0	0	623	1403	2755	3222	0	0	0	0	0	0	0	0	1223	0	0	0	2514	4164	45160	19935	30075	412521	700022	1504509	198691	417908	72321	4094632	2209229	344212	6049627	430853	1757917	2048897	4546640	230487	9518107	2138068	2374365	2982733	1258994	1889219	30204	3374229	144368	165144	118227	85585	104769	1975417	109954	25038	138207	25853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50839	11897	0	0	0	19940	0	44820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86900	26667	54371	198455	33661	0	935527	1967510	3646610	64586	413489	175132	2564409	6000276	5515152	95183	331673	185855	4101898	1087761	2114525	120492	48631	1019938	5920786	4324500	3681367	70534	561499	79732	958647	2472372	1299577	163490	0	211195	420318	571516	295789
ASV57	0	0	0	2120	0	0	0	0	0	10149	16640	2830	77888	11186	38815	113714	75231	67806	43822	42688	7723	183923	191195	108402	165893	375035	126665	35013	44193	10809	28586	41643	22889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3788	3262	0	0	31523	0	68788	125715	49527	87464	142241	59357	199104	180351	0	167549	102828	111446	249592	37264	79047	31108	94391	32497	53900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67264	47077	10812	23509	30559	11831	433040	921439	406641	1035931	3522040	176073	4402759	5991446	2172764	1437757	7871106	495367	685658	6010383	1555669	494567	398256	55730	238848	65810	4078910	687091	2436912	117206	140986	383152	0	0	244704	0	0	0	192529	0	78377	0
ASV41	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185541	0	240645	82367	0	0	3497182	3399179	0	0	0	537912	4355949	5433182	3496430	7596613	9408873	3020166	2395755	1512772	2499475	598629	919043	429394
ASV51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	2873	0	0	0	0	2206	0	0	0	0	0	10992	5629	0	1151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17070	1599	0	0	2894	17683	557821	360273	15271	226258	252375	883010	9474147	0	0	33401	3178658	4351147	3550217	6183433	1961227	2260936	10802063	12978	148784	15556	898239	564592	693984	1944508	7924	31037	15779	0	17732	10784	0	0	0	4507	0	9107
ASV35	0	0	0	0	0	0	0	918	0	1386	1988	4959	5914	5113	2291	2706	1640	3120	0	1037	559	5798	2899	1746	1888	6937	3748	2980	3932	659	1666	3155	2303	124	0	891	0	0	429	0	0	1109	0	0	1670	1298	0	0	1390	0	4132	8856	5243	685	10495	10634	81629	22133	43701	10819	76925	52091	35166	35717	21678	26699	47038	35407	60271	68693	37927	16579	30031	56291	22730	37329	35853	20693	30163	22691	6397	20594	2441	2716	22274	9417	4404	0	0	0	0	0	2240	1025	2678	1518	1704	93264	179746	139038	169324	184819	478853	703314	616861	1191183	415248	3514637	1179450	3423715	1804964	2137226	697748	2882141	1252419	1084035	2936383	1068845	786824	2065660	361010	862804	810707	4026909	2069912	3333645	473012	453287	521870	136978	437483	896368	370951	64557	163191	240946	63818	218662	47645
ASV75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1142	0	0	0	0	0	0	1509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34639	23699	18719	0	21565	0	406871	433577	270751	208428	732979	294179	7517054	6254196	5151724	2241944	955449	446927	4051318	6075874	3034560	4400000	1618418	776465	0	0	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
