ASV_ID	GB81	GB82	GB83	GB84	GB85	GB86	PBS81	PBS82	PBS83	PBS84	PBS85	PBS86	PE81	PE82	PE83	PE84	PE85	PE86
ASV68	591077	258160	472849	318683	214364	1010714	1063202	836524	769252	689696	588262	490027	1407978	1243243	1490747	1624028	1794655	1707600
ASV69	5800	20573	27735	37703	65535	7366	28906	62077	26331	11828	8044	0	9255	93560	75194	16786	112062	8121
ASV70	11138	0	23585	9746	4034	6601	6837776	1593509	5981805	909223	1400935	1283791	7141	112170	49295	72915	29342	18345
ASV72	9415	31528	27569	20523	17571	9703	0	34074	30770	18160	54350	0	0	87280	92308	34393	33342	28973
ASV73	0	0	0	0	0	3234	0	0	0	0	0	0	0	0	0	0	0	0
ASV74	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV75	0	0	0	0	0	0	0	0	0	0	0	0	4051318	6075874	3034560	4400000	1618418	776465
ASV77	44082	3299	73802	10425	26293	27212	62309	27701	0	19170	18994	6863	58316	0	8147	18234	73152	0
ASV79	8433	2706	8426	1662	2828	5032	124569	95137	116453	87938	114476	20309	4806	10642	6507	0	4316	0
ASV80	0	0	0	0	0	0	2967136	2762634	3447183	1759310	2345589	1484813	0	0	0	0	0	0
ASV81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1832	0	0	0
ASV82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV83	1242	783	606	1839	1159	0	0	6768	14023	2240	1868	4953	0	0	1412	0	0	0
ASV84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV85	60003	198122	80187	142837	100644	56665	23687	68036	0	17203	15224	11308	79347	1256700	149360	93093	348576	95501
ASV86	15900	6437	5523	7680	2179	27398	7171821	3758242	5781818	3468595	4243016	3264737	33158	34017	56017	28424	28868	34627
ASV87	0	0	0	0	0	737	0	0	3964	0	0	0	0	0	0	0	0	0
ASV88	24828	6081	5250	4232	14402	36231	158604	0	172728	0	273536	80140	0	44442	0	25231	38464	53829
ASV90	3620	3659	0	0	10011	7426	1185207	1313665	912922	465824	1180029	720977	45542	333979	30487	29006	185954	223472
ASV91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV92	0	0	696	1291	0	0	8795	315722	164573	11844	26338	40151	0	0	0	0	0	0
ASV93	577	0	196	727	206	854	0	0	0	0	0	0	0	0	0	0	0	0
ASV94	0	0	0	0	0	0	0	6367	20612	3241	0	0	0	0	0	0	0	0
ASV95	7457	36491	40672	60591	50685	11376	20109	83002	26897	8871	5455	7600	11616	129498	104622	19361	71244	21474
ASV96	3041	742	597	0	0	0	83815	0	649768	135131	14224	24806	0	3826	0	0	0	0
ASV97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV98	2154	20348	21562	12541	24098	6302	0	54792	0	0	0	0	0	78904	59036	0	37604	0
ASV99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13348	0	0	0
ASV100	0	0	626	0	220	2022	0	0	0	0	0	12906	0	0	0	0	43662	0
ASV101	0	0	0	0	0	0	0	0	0	0	0	60618	427338	19340	13824	188928	138132	4829953
ASV102	0	0	0	0	0	0	0	0	0	0	0	0	4772568	18585668	1340468	1045465	0	77112
ASV103	0	0	0	0	0	0	0	0	0	0	0	0	61232	62346	81468	0	148722	0
ASV104	0	0	0	0	0	0	2582728	3004722	3086800	1554941	1944280	1192934	0	0	0	0	0	0
ASV105	0	0	0	0	0	0	286100	344421	260419	79694	72769	211448	0	0	0	0	0	0
ASV106	4639	10138	3620	3356	0	5660	349227	1028969	0	0	981198	0	0	0	9513	9423	4763	36996
ASV107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV108	0	0	0	0	0	0	0	0	0	0	0	0	156085	94590	96894	35772	34956	13757
ASV109	1332	220	1359	2406	1040	5024	322363	299143	696424	188751	234443	82035	27605	18340	84305	12545	99741	3692
ASV110	819	106	835	0	0	231	18625	0	0	10152	0	2011	8264	7935	382	1481	5746	0
ASV111	0	0	0	0	0	0	13969	0	0	0	0	0	916725	6151748	1084950	1815312	7509394	317361
